epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,359.343,1.40838,2.66015,0.00684,0.60574,0.25201,0.23338,0.14964,1.38246,2.62481,0.0071,3.60267e-05,3.60267e-05,3.60267e-05
91,365.283,1.42728,2.79754,0.00783,0.60269,0.26623,0.23687,0.15072,1.39624,2.6213,0.00716,3.3027e-05,3.3027e-05,3.3027e-05
92,368.469,1.35747,2.74554,0.00769,0.60552,0.26413,0.23499,0.1477,1.40227,2.62538,0.00719,3.00273e-05,3.00273e-05,3.00273e-05
93,372.606,1.38693,2.69577,0.00835,0.60297,0.26913,0.2339,0.14678,1.40266,2.62992,0.00719,2.70276e-05,2.70276e-05,2.70276e-05
94,376.152,1.35111,2.69048,0.00819,0.56557,0.27483,0.23345,0.14627,1.39957,2.63436,0.00719,2.40279e-05,2.40279e-05,2.40279e-05
95,379.527,1.35005,2.71717,0.00808,0.56072,0.27823,0.23731,0.14816,1.40584,2.63497,0.00722,2.10282e-05,2.10282e-05,2.10282e-05
96,382.586,1.35158,2.76773,0.00754,0.56156,0.27947,0.23766,0.14816,1.40143,2.63509,0.00722,1.80285e-05,1.80285e-05,1.80285e-05
97,386.949,1.39323,2.79258,0.00874,0.56828,0.2783,0.23831,0.14837,1.40395,2.63579,0.00723,1.50288e-05,1.50288e-05,1.50288e-05
98,390.042,1.34203,2.6604,0.00775,0.57392,0.27818,0.23881,0.14829,1.40515,2.63757,0.00726,1.20291e-05,1.20291e-05,1.20291e-05
99,393.134,1.35692,2.62356,0.00763,0.56447,0.2792,0.23902,0.14832,1.40768,2.63794,0.00726,9.0294e-06,9.0294e-06,9.0294e-06
100,396.271,1.36493,2.69267,0.00823,0.57236,0.27523,0.23877,0.14808,1.40651,2.64077,0.00727,6.0297e-06,6.0297e-06,6.0297e-06
