epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,9165.9,0.91664,0.36149,0.99038,0.99533,0.99256,0.99488,0.72534,1.00948,0.33404,1.01902,0.0001684,0.0001684,0.0001684
86,9276.14,0.90739,0.3599,0.98363,0.99337,0.99302,0.99485,0.72573,1.00834,0.33427,1.02033,0.0001585,0.0001585,0.0001585
87,9387.45,0.91127,0.3611,0.98663,0.99217,0.99418,0.99488,0.7246,1.01028,0.33457,1.02054,0.0001486,0.0001486,0.0001486
88,9501.77,0.90111,0.35773,0.98136,0.9948,0.9936,0.99489,0.72409,1.01138,0.33314,1.02002,0.0001387,0.0001387,0.0001387
89,9614.94,0.91217,0.35692,0.98194,0.99455,0.99418,0.99486,0.72418,1.01123,0.33078,1.02021,0.0001288,0.0001288,0.0001288
90,9725.88,0.90848,0.35429,0.98181,0.99303,0.99512,0.99486,0.72502,1.01229,0.33115,1.01923,0.0001189,0.0001189,0.0001189
91,9839.26,0.89298,0.32575,0.98969,0.99155,0.9936,0.99408,0.72262,1.01565,0.33303,1.02169,0.000109,0.000109,0.000109
92,9946.07,0.88554,0.31885,0.98646,0.99287,0.99418,0.99415,0.72332,1.01541,0.33189,1.02026,9.91e-05,9.91e-05,9.91e-05
93,10051.3,0.88164,0.31727,0.98255,0.99244,0.99378,0.99425,0.72418,1.01493,0.33201,1.01932,8.92e-05,8.92e-05,8.92e-05
94,10153.3,0.87352,0.31619,0.97809,0.99309,0.99302,0.99486,0.72101,1.01832,0.33313,1.02107,7.93e-05,7.93e-05,7.93e-05
95,10256.7,0.87273,0.31506,0.98119,0.99111,0.99534,0.99486,0.72241,1.01828,0.3336,1.02078,6.94e-05,6.94e-05,6.94e-05
96,10361.5,0.87406,0.31506,0.97906,0.99187,0.99422,0.99488,0.72045,1.01901,0.33379,1.02122,5.95e-05,5.95e-05,5.95e-05
97,10472.2,0.86739,0.31129,0.97686,0.99302,0.99407,0.99488,0.72179,1.01692,0.33318,1.02026,4.96e-05,4.96e-05,4.96e-05
98,10584.2,0.86657,0.30971,0.97689,0.99238,0.99476,0.99488,0.72065,1.01631,0.33363,1.02028,3.97e-05,3.97e-05,3.97e-05
99,10696.1,0.86654,0.31083,0.97251,0.99254,0.9936,0.99486,0.72058,1.01689,0.33326,1.02003,2.98e-05,2.98e-05,2.98e-05
100,10808.3,0.86334,0.3102,0.97795,0.99245,0.99413,0.99486,0.72048,1.01642,0.33255,1.01972,1.99e-05,1.99e-05,1.99e-05
