epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,212.306,1.32856,1.96448,1.15601,0,0,0,0,0,0,0,3.4675e-05,3.4675e-05,3.4675e-05
89,214.151,1.41175,1.86701,1.17226,0,0,0,0,0,0,0,3.22e-05,3.22e-05,3.22e-05
90,216.231,1.33966,1.81383,1.17718,0,0,0,0,0,0,0,2.9725e-05,2.9725e-05,2.9725e-05
91,220.46,1.35281,1.79052,1.1969,0,0,0,0,0,0,0,2.725e-05,2.725e-05,2.725e-05
92,222.635,1.28046,1.6507,1.17591,0,0,0,0,0,0,0,2.4775e-05,2.4775e-05,2.4775e-05
93,225.464,1.29721,1.62609,1.19749,0,0,0,0,0,0,0,2.23e-05,2.23e-05,2.23e-05
94,227.452,1.26873,1.59449,1.20446,0,0,0,0,0,0,0,1.9825e-05,1.9825e-05,1.9825e-05
95,229.56,1.28249,1.56972,1.2005,0,0,0,0,0,0,0,1.735e-05,1.735e-05,1.735e-05
96,231.378,1.31067,1.65178,1.16189,0,0,0,0,0,0,0,1.4875e-05,1.4875e-05,1.4875e-05
97,233.178,1.29234,1.67248,1.19695,0,0,0,0,0,0,0,1.24e-05,1.24e-05,1.24e-05
98,234.988,1.25462,1.6341,1.15223,0,0,0,0,0,0,0,9.925e-06,9.925e-06,9.925e-06
99,237.71,1.25753,1.56905,1.17295,0,0,0,0,0,0,0,7.45e-06,7.45e-06,7.45e-06
100,252.637,1.24558,1.64182,1.16942,0.88977,0.32731,0.39398,0.26697,1.30424,1.54392,1.17803,4.975e-06,4.975e-06,4.975e-06
